Date,URL,回数,タイトル,録音の有無,スピーカー
2024-02-29,https://x.com/i/spaces/1MnxnMnywgoJO,,#Vizトーク 第55回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms); スピーカー: KT@Canva Japan(@DATA_Saber), Norito.Nakamura(のりぴー)(@tab_no5)"
2024-03-07,https://x.com/i/spaces/1RDGlloOqEgGL,,#Vizトーク 第56回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yuta Sakai(さかぴー)(@unbosoms)"
2024-03-14,https://x.com/i/spaces/1LyGBnwlMejGN,,#Vizトーク 第57回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms)"
2024-03-21,https://x.com/i/spaces/1BdGYrPXdkLJX,,#Vizトーク 第58回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Takafumi Shukuya(@O_Syringa_Z)"
2024-04-04,https://x.com/i/spaces/1MnxnMmLBowJO,,#Vizトーク 第59回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Satoshi Ganeko(@ritz_Tableau), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-04-11,https://x.com/i/spaces/1vAxRvMbreRxl,,#Vizトーク 第60回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Takafumi Shukuya(@O_Syringa_Z); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2024-05-09,https://x.com/i/spaces/1yoKMwEPnojJQ,,#Vizトーク 第61回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
2024-05-16,https://x.com/i/spaces/1gqGvQELBqRKB,,#Vizトーク 第62回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House), Takafumi Shukuya(@O_Syringa_Z)"
2024-05-23,https://x.com/i/spaces/1nAKEaAjQMXKL,,#Vizトーク 第63回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); スピーカー: Shunta/だんでー(@Dandee_House)"
2024-05-30,https://x.com/i/spaces/1YpJkwzoPlEJj,,#Vizトーク 第64回,あり,"ホスト: Yusuke Nakanishi(@YusukeNakanish3); 共同ホスト: Yoshitaka Arakawa(@yoshi_datavizjp); スピーカー: Yuta Sakai(さかぴー)(@unbosoms), Shunta/だんでー(@Dandee_House)"
